player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Orlando, M",23,1,Jaguares ,1,1,1,,1,,50,50,,1,1,50,,,,,,,,,
"Petti Pagadizaval, G",4,1,Jaguares ,1,1,2,,,1,,33.3,,1,2,33.3,,,4,,,,,,
"Bholi, T",7,1,Kings ,1,11,2,,10,1,83.3,84.6,2,8,3,76.9,,,8,1,,1,,,
"Astle, J",5,1,Kings ,1,8,1,,5,3,83.3,88.9,,6,3,66.7,,,3,,2,2,,,
"Gates, S",12,1,Kings ,1,8,1,,6,2,85.7,88.9,2,4,3,66.7,,,5,1,,1,,2,2
"Cloete, C",6,1,Kings ,1,7,2,,5,2,71.4,77.8,,3,6,33.3,,,7,1,,1,,3,3
"Engelbrecht, J",8,1,Kings ,1,7,1,,4,3,80,87.5,,4,4,50,,,2,,1,1,,,
"Velleman, C",20,1,Kings ,1,7,,,7,,100,100,2,4,1,85.7,,,9,4,,4,,1,1
"Du Plessis, J",13,1,Kings ,1,6,4,,4,2,50,60,,2,8,20,,,4,,,,,,
"Jaer, M",11,1,Kings ,1,6,2,,5,1,71.4,75,,2,6,25,,,1,,,,,,
"Ferreira, M",2,1,Kings ,1,5,1,,4,1,80,83.3,,3,3,50,,,1,1,,1,1,,1
"Kebe, N",9,1,Kings ,1,5,2,,5,,71.4,71.4,,2,5,28.6,,,2,,,,,,
"Marutlulle, E",16,1,Kings ,1,5,2,,4,1,66.7,71.4,,5,2,71.4,,,,,,,,,
"Oelofse, S",19,1,Kings ,1,5,1,,3,2,75,83.3,,5,1,83.3,,,2,,,,,2,2
"Eksteen, L",21,1,Kings ,1,3,2,,3,,60,60,,1,4,20,,,,,,,1,,1
"Ferreira, S",1,1,Kings ,1,3,,,3,,100,100,,2,1,66.7,,,,,,,,,
"Visser, J",15,1,Kings ,1,3,1,,3,,75,75,,2,2,50,,,1,,,,,,
"Vulindlu, L",14,1,Kings ,1,3,1,,3,,75,75,,3,1,75,,,1,,,,,,
"Watts, E",10,1,Kings ,1,3,1,,3,,75,75,,1,3,25,,,,,,,,,
"Botha, T",3,1,Kings ,1,2,1,,1,1,50,66.7,,2,1,66.7,,,,,,,,1,1
"Fouché, L",22,1,Kings ,1,2,1,,1,1,50,66.7,,1,2,33.3,,,,,,,,,
"Sithole, S",17,1,Kings ,1,2,1,,2,,66.7,66.7,,2,1,66.7,,,,,,,,1,1
"Sykes, S",4,1,Kings ,1,2,2,,1,1,33.3,50,,2,2,50,,,1,,,,1,,1
"Radebe, C",23,1,Kings ,1,1,1,,1,,50,50,,1,1,50,,,2,,,,,,
"Albertse, L",18,1,Kings ,1,,1,,,,,,,,1,,,,1,,,,,,
"Whiteley, WR",8,1,Lions ,1,17,,,13,4,100,100,,12,5,70.6,,,1,,,,,,
"Kriel, J",6,1,Lions ,1,16,,,11,5,100,100,1,10,5,68.8,,,8,1,,1,1,,1
"Mostert, F",5,1,Lions ,1,14,2,,10,4,83.3,87.5,1,11,4,75,,,3,1,,1,2,,2
"Jantjies, ET",10,1,Lions ,1,11,1,,11,,91.7,91.7,,10,2,83.3,,,3,,,,,,
"Tecklenburg, W",7,1,Lions ,1,10,1,,7,3,87.5,90.9,,6,5,54.5,,,8,2,,2,,1,1
"Redelinghuys, J",3,1,Lions ,1,9,1,,6,3,85.7,90,,7,3,70,,,,,,,,,
"Ferreira, A",4,1,Lions ,1,8,2,,4,4,66.7,80,1,5,4,60,,,,,,,,1,1
"Coetzee, R",2,1,Lions ,1,7,1,,5,2,83.3,87.5,,7,1,87.5,,,1,,,,,,
"Mnisi, H X",12,1,Lions ,1,6,,,5,1,100,100,,3,3,50,,,1,,,,,,
"Combrink, R",14,1,Lions ,1,5,,,5,,100,100,1,4,,100,,,2,1,,1,,,
"de Klerk, F",9,1,Lions ,1,5,1,,5,,83.3,83.3,,2,4,33.3,,,,,,,,,
"Dreyer, RM",1,1,Lions ,1,5,1,,3,2,75,83.3,,4,2,66.7,,,,,,,1,1,2
"Mapoe, L",13,1,Lions ,1,4,,,4,,100,100,,4,,100,,,2,,,,1,,1
"Marx, MJ",16,1,Lions ,1,3,1,,3,,75,75,,2,2,50,,,,,,,,,
"Skosan, C",11,1,Lions ,1,3,,,1,2,100,100,,2,1,66.7,,,,,,,,,
"Smith, D",17,1,Lions ,1,3,,,2,1,100,100,2,,1,66.7,,,1,,,,,,
"Rensburg, R",23,1,Lions ,1,2,,,1,1,100,100,,2,,100,,,,,,,,,
"Ackermann, R",20,1,Lions ,1,1,,,1,,100,100,,1,,100,,,,,,,,1,1
"van der Walt, J",21,1,Lions ,1,1,,,1,,100,100,,1,,100,,,,,,,,,
"van Rooyen, J",18,1,Lions ,1,1,1,,1,,50,50,,,2,,,,,,,,1,1,2
"Vorster, H",22,1,Lions ,1,1,1,,,1,,50,,1,1,50,,,,,,,,,
"Coetzee, A",15,1,Lions ,1,,1,,,,,,,,1,,,,2,1,,1,,,
"Jones, L",4,1,Rebels ,1,12,1,,10,2,90.9,92.3,1,10,2,84.6,,,2,2,,2,,,
"Hodge, R",15,1,Rebels ,1,10,4,,10,,71.4,71.4,,10,4,71.4,,,3,2,,2,,,
"Timani, L",5,1,Rebels ,1,10,2,,8,2,80,83.3,1,8,3,75,,,3,1,,1,,1,1
"McMahon, S",7,1,Rebels ,1,9,2,,9,,81.8,81.8,,7,4,63.6,,,5,1,1,2,,1,1
"Reid, J",6,1,Rebels ,1,9,,,9,,100,100,1,7,1,88.9,,,5,,,,,1,1
"Ellison, T",13,1,Rebels ,1,8,,,6,2,100,100,1,6,1,87.5,,,2,1,,1,,,
